
--- Cluster 1 (21 members) ---
  'Reproductive average daily fecundity' | the number of newborn nymphs (N1) per female pe... | nymphs per day
  'Reproductive average total fecundity' | the number of newborn nymphs (N1) per female | nymphs
  'Post-reproductive average' | period from the end of reproduction until death | days
  'adult longevity' | lifespan of adult aphids | days
  'fecundity' | number of aphids produced | number of offspring
  'body size' | mean of weight (unfed) | mg
  'body size' | mean of weight (engorged) | mg
  'hypostome length' | mean length of hypostome (appendage on the mouth) | mm
  'body length' | mean length (unfed ) | mm
  'body length' | mean length (engorged ) | mm
  'body width' | mean width (unfed) | mm
  'body width' | mean width (engorged) | mm
  'development time' | mean duration of attachment period | days
  'feeding period' | mean duration of feeding period | days
  'fecundity rate' | maximum number of eggs produced in a single day... | eggs individual-1 day-1
  'peak fecundity' | day post engorgement on which an individual fem... | days
  'body size' | mean wet mass of an individual tick post engorg... | mg
  'survival rate' | percentage of starved larval ticks that survive... | percent
  'Pre-Oviposition Period' | Pre-oviposition period of ticks held at constan... | days
  'Oviposition Rate' | mean number of eggs per female | eggs
  'Weight' | Weight of eggs laid by an individual engorged f... | g
  'Weight' | Weight of an individual engorged female in gram... | g
  'Weight' | mean weight of larvae during their feeding period | mg
  'Weight' | mean weight of nymphs during their feeding period | mg
  'Weight' | mean weight of engorged nymphs moulting to males | mg
  'Molting Period' | number of days required for an individual engor... | days
  'Feeding Period' | number of days required for nymphs to fully eng... | days
  'Feeding Period of Nymphs (Days)' | number of days required for nymphs to fully eng... | days
  'feeding period' | mean Feeding Period in days at larval state at ... | days
  'premolting period' | mean Premolting Period in days at larval state ... | days
  'feeding period' | mean Feeding Period in days at nymph state at c... | days
  'premolting period' | mean Premolting Period in days at nymph state a... | days
  'feeding period' | mean Feeding Period in days at adult female sta... | days
  'preoviposition period' | mean Preoviposition Period in days at adult fem... | days
  'oviposition period' | mean Oviposition Period in days at adult female... | days
  'weight' | Mean weight on day of hatching | ug
  'weight' | Mean weight 14 days after hatching | ug
  'weight' | Mean weight on day of engorgement | ug
  'weight loss' | Percentage loss in body weight during female pr... | percent
  'weight' | Weight of developing Hyalomma impeltatum nymphs... | mg
  'weight' | Mean egg mass | mg
  'Efficency' | Percent weight transfered from engorged female ... | percent
  'egg mass' | Mean egg mass by oviposition day of females rai... | mg
  'hardening period' | mean time for a tick to become hardened | days
  'feeding period' | mean time required for nymphs to feed | days
  'moulting period' | mean time required for nymphs to moult | days
  'engorgement period' | mean time required for females to become engorged | days
  'body size' | mean weight of engorged tick | mg
  'egg count' | mean number of eggs layed | mg
  'body size' | mean weight of engored nymphs | mg
  'conversion efficiency' | the ratio of laid eggs to engorged female body ... | ratio
  'survival rate' | percentage of unfed adults that survive | percent
  'percent moult' | percentage moulted engorged on calves | days
  'premolting period' | average pre-moulting period engorged on calves | days
  'percent moult' | percentage moulted engorged on rabbits | percent
  'engorgement period' | average duration of engorgement on calves | days
  'engorgement period' | average duration of engorgement on rabbits | days
  'feeding time' | time required for larval ticks to reach engorge... | days
  'molting period' | time required for engorged larval ticks to molt | days
  'pre hatching period' | mean time until hatching | days
  'hatching period' | mean time from initiation to completion of hatc... | days
  'egg conversion ratio' | mean weight of eggs / mean weight of engorged f... | percent
  'questing' | mean percent of ticks questing | percent
  'conversion efficiency' | Mean index of conversion efficiency- (cumulativ... | percent
  'egg hatch' | Mean percentage of eggs hatched | percent
  'lipid content' | median proportion of lipid content of the tick-... | NA
  'Distance Traveled' | Average distance covered per hour while questing | mm
  'Questing Time' | Mean proportion of time tick seen questing (leg... | percent
  'Water loss' | Water loss of ticks exposed to dry air for 24 h... | mg/cm2
  'Weight loss' | Weight loss of ticks exposed to dry air for 24 ... | percent
  'Water loss' | Water loss of dead engorged ticks exposed to dr... | mg/cm2
  'Mortality Rate' | Percent mortality in engorged ticks before moul... | percent
  'Oviposition Period' | Oviposition Period 1/period(day) in engorged fe... | days-1
  'Pre-Oviposition Period in engorged females' | Pre-Oviposition Period in engorged females | days-1
  'Development Rate (Egg)' | 1 / time for egg incubation across const temps | days-1
  'Development Rate (Larva)' | 1 / development time of Engorged Larva | days-1
  'Development Rate (Nymph)' | 1 / development time of Engorged Nymph | days-1
  'preoviposition period' | Mean Pre-Oviposition Period | days
  'oviposition' | daily average number of eggs / female | eggs
  'Body Mass' | Weight of an individual engorged female | mg
  'Egg Mass' | Weight of eggs laid by an individual female | mg
  'Body Mass' | mean daily weight of larvae during their feedin... | mg
  'Body Mass' | mean daily weight of nymphs during their pharat... | mg
  'Body Mass' | mean daily weight of nymphs during their feedin... | mg
  'Development Rate' | percent of immature stages remaining x days aft... | percent
