"ID","n_points","AIC_quad","BIC_quad","AIC_cubic","BIC_cubic","AIC_logistic","BIC_logistic","converged_logistic","N0_logistic","Nmax_logistic","rmax_logistic","AIC_gompertz","BIC_gompertz","converged_gompertz","N0_gompertz","Nmax_gompertz","rmax_gompertz","tlag_gompertz","best_AIC","best_BIC","Species","Temp","Medium","PopBio_units"
34,23,54.96079921999,59.5027760837066,43.2468759916345,48.9243470712803,31.278939779159,35.8209166428756,TRUE,-6.31702477146544,-1.62082844932408,0.426338812378802,32.9672890338265,38.6447601134723,TRUE,-6.26268595401924,-1.60925449278931,0.35875296190602,0,"Logistic","Logistic","Stenotrophomonas.maltophilia.2",15,"TSB","OD_595"
35,35,88.7723831799414,94.993775425899,82.5892564206712,90.3659967281183,35.9787561277445,42.2001483737022,TRUE,-3.40300731656183,-0.224561566823472,0.384208810157372,40.7836467177612,48.5603870252083,TRUE,-3.54774792804072,-0.226661230365485,0.376355368380586,0,"Logistic","Logistic","Klebsiella.pneumonia",15,"TSB","OD_595"
36,25,51.3444433579652,56.219946657438,34.3217483390801,40.4161274634211,12.5987541587785,17.4742574582513,TRUE,-4.29808547401102,-0.70130007527967,0.153788773553135,14.8153045516055,20.9096836759465,TRUE,-4.34312637264858,-0.701235344160638,0.150419314462648,0,"Logistic","Logistic","Dickeya.zeae",15,"TSB","OD_595"
37,24,74.7808573871886,79.4930727085804,54.7073417233988,60.5976108751385,10.8738772263679,15.5860925477597,TRUE,-6.2219410547764,-0.655307911785071,0.115331932636164,-13.3308834776216,-7.44061432588183,TRUE,-5.59932901627834,-0.67629555886196,0.347982011698318,20.4220482424796,"Gompertz","Gompertz","Pectobacterium.carotovorum.subsp..Carotovorum.Pcc2",15,"TSB","OD_595"
38,23,73.2673373017309,77.8093141654475,57.8338536567955,63.5113247364412,22.7589987093666,27.3009755730832,TRUE,-6.37455930425856,-0.92784161756617,0.222415409428564,23.1669283943777,28.8443994740235,TRUE,-6.06679113439797,-0.932775088730554,0.293229036275704,3.69043941152937,"Logistic","Logistic","Pantoea.agglomerans..RDA.R.",15,"TSB","OD_595"
39,24,71.0054515629956,75.7176668843874,56.2621229513579,62.1523921030977,21.4655936543122,26.177808975704,TRUE,-5.5111209451908,-0.685847772571346,0.255211362715951,23.4591470775871,29.3494162293269,TRUE,-5.86739193906581,-0.683060714933563,0.303733136362077,0,"Logistic","Logistic","Dickeya.zeae..RDA.R.",15,"TSB","OD_595"
40,22,40.9993843294341,45.3635541428674,28.0620184146396,33.5172306814312,14.4901120084387,18.8542818218719,TRUE,-4.93390489788398,-2.14995132667822,0.280060662160567,20.1915061871201,25.6467184539117,TRUE,-4.85507377839268,-2.10705021874247,0.10627593321001,0,"Logistic","Logistic","Acinetobacter.clacoaceticus..RDA.R.",15,"TSB","OD_595"
41,23,46.259085042985,50.8010619067016,20.233751800554,25.9112228801997,-23.3194389198061,-18.7774620560895,TRUE,-5.36945717141345,-1.5637161379107,0.0631310874165659,-21.7241692602453,-16.0466981805995,TRUE,-5.5774164638561,-1.56227215541995,0.0667974095056914,0,"Logistic","Logistic","Stenotrophomonas.maltophilia..RDA.R.",15,"TSB","OD_595"
42,32,68.8897212912855,74.7526649024844,61.5708641198069,68.8995436338055,7.76049466193161,13.6234382731305,TRUE,-3.23955871205293,-0.307444455327995,0.316683908571735,10.6435755294434,17.972255043442,TRUE,-3.3045156915231,-0.308433822489493,0.289250127051102,0,"Logistic","Logistic","Klebsiella.pneumonia..RDA.R.",15,"TSB","OD_595"
43,22,35.5843273940047,39.948497207438,15.518201992247,20.9734142590386,6.37871916419931,10.7428889776326,TRUE,-5.79981911755136,-1.66482928540058,0.0453753892196254,4.16956492221069,9.62477718900227,TRUE,-6.05031027169136,-1.65257791041854,0.0496340114753268,0,"Gompertz","Gompertz","Bacillus.pumilus..RDA.R.",15,"TSB","OD_595"
